Date,Coal_Type,Benchmark,Per _Price
2019-01-07,HCC,GM EXW #5 Jinquan ,1160.0
2019-01-07,HCC,GM EXW #3,0.0
2019-01-07,HCC,Baotou EXW,1092.0
2019-01-07,HCC,Tangshan Hebei FOR,1635.0
2019-01-07,HCC,Jingtang Australia EXW,1670.0
2019-01-07,HCC,Tianjin Australia EXW,1550.0
2019-01-07,SSCC,Tangshan Hebei FOR,1530.0
2019-01-07,SSCC,Wuhai EXW,1041.0
2019-01-07,TC,GM DAP,275.0
2019-01-07,TC,Wuhai EXW,383.0
2019-01-14,HCC,GM EXW #5 Jinquan ,1160.0
2019-01-14,HCC,GM EXW #3,0.0
2019-01-14,HCC,Baotou EXW,1092.0
2019-01-14,HCC,Tangshan Hebei FOR,1635.0
2019-01-14,HCC,Jingtang Australia EXW,1640.0
2019-01-14,HCC,Tianjin Australia EXW,1520.0
2019-01-14,SSCC,Tangshan Hebei FOR,1530.0
2019-01-14,SSCC,Wuhai EXW,1041.0
2019-01-14,TC,GM DAP,275.0
2019-01-14,TC,Wuhai EXW,390.0
2019-01-21,HCC,GM EXW #5 Jinquan ,1160.0
2019-01-21,HCC,GM EXW #3,0.0
2019-01-21,HCC,Baotou EXW,1092.0
2019-01-21,HCC,Tangshan Hebei FOR,1635.0
2019-01-21,HCC,Jingtang Australia EXW,1600.0
2019-01-21,HCC,Tianjin Australia EXW,1480.0
2019-01-21,SSCC,Tangshan Hebei FOR,1530.0
2019-01-21,SSCC,Wuhai EXW,1041.0
2019-01-21,TC,GM DAP,275.0
2019-01-21,TC,Wuhai EXW,401.0
2019-01-28,HCC,GM EXW #5 Jinquan ,1160.0
2019-01-28,HCC,GM EXW #3,0.0
2019-01-28,HCC,Baotou EXW,1069.0
2019-01-28,HCC,Tangshan Hebei FOR,1635.0
2019-01-28,HCC,Jingtang Australia EXW,1600.0
2019-01-28,HCC,Tianjin Australia EXW,1480.0
2019-01-28,SSCC,Tangshan Hebei FOR,1530.0
2019-01-28,SSCC,Wuhai EXW,1020.0
2019-01-28,TC,GM DAP,275.0
2019-01-28,TC,Wuhai EXW,424.0
2019-02-04,HCC,GM EXW #5 Jinquan ,1160.0
2019-02-04,HCC,GM EXW #3,0.0
2019-02-04,HCC,Baotou EXW,1069.0
2019-02-04,HCC,Tangshan Hebei FOR,1635.0
2019-02-04,HCC,Jingtang Australia EXW,1610.0
2019-02-04,HCC,Tianjin Australia EXW,1480.0
2019-02-04,SSCC,Tangshan Hebei FOR,1530.0
2019-02-04,SSCC,Wuhai EXW,1020.0
2019-02-04,TC,GM DAP,265.0
2019-02-04,TC,Wuhai EXW,424.0
